Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-26 05:00:00+11:00,2024-03-29 13:00:00+11:00,2024-03-21 05:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-26 05:00:00+11:00,2024-03-29 13:00:00+11:00,2024-03-21 05:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-03-26 05:00:00+11:00,2024-03-28 10:00:00+11:00,2024-03-21 05:00:00+11:00
Learning Consulting Core - Learn Virtual,Open,Yes,2024-03-26 06:30:00+11:00,2024-03-29 15:30:00+11:00,2024-03-21 06:30:00+11:00
Calculated Fields - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-27 12:00:00+11:00,2024-03-21 07:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-29 15:00:00+11:00,2024-03-21 07:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-29 15:00:00+11:00,2024-03-21 07:00:00+11:00
Performance Enablement - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-28 12:00:00+11:00,2024-03-21 07:00:00+11:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-29 12:00:00+11:00,2024-03-21 07:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-28 12:00:00+11:00,2024-03-21 07:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-29 15:00:00+11:00,2024-03-21 07:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-30 07:30:00+11:00,2024-03-21 07:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-26 07:00:00+11:00,2024-03-29 15:00:00+11:00,2024-03-21 07:00:00+11:00
Payroll Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 14:30:00+11:00,2024-03-30 23:30:00+11:00,2024-03-21 14:30:00+11:00
HCM Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 14:30:00+11:00,2024-03-30 22:30:00+11:00,2024-03-21 14:30:00+11:00
Student Fundamentals - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-29 23:00:00+11:00,2024-03-21 15:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-28 20:00:00+11:00,2024-03-21 15:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-21 15:00:00+11:00
Talent Management - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-21 15:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-21 15:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-30 21:00:00+11:00,2024-03-21 15:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-30 21:00:00+11:00,2024-03-21 15:00:00+11:00
Integration Security - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-21 15:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-29 23:00:00+11:00,2024-03-21 15:00:00+11:00
Time Tracking Consulting Core - Learn Virtual,Open,Yes,2024-03-26 16:30:00+11:00,2024-03-31 01:30:00+11:00,2024-03-21 16:30:00+11:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-03-26 16:30:00+11:00,2024-03-31 01:30:00+11:00,2024-03-21 16:30:00+11:00
Student Financial Aid Fundamentals - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-30 01:00:00+11:00,2024-03-21 17:00:00+11:00
Student Financial Aid Consulting Core - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-21 17:00:00+11:00
Student Records and Advising Consulting Core - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-21 17:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-30 01:00:00+11:00,2024-03-21 17:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-28 22:00:00+11:00,2024-03-21 17:00:00+11:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-27 22:00:00+11:00,2024-03-21 17:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-21 17:00:00+11:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-21 17:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-26 17:00:00+11:00,2024-03-30 01:00:00+11:00,2024-03-21 17:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-03-26 19:00:00+11:00,2024-03-29 00:00:00+11:00,2024-03-21 19:00:00+11:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-03-26 19:00:00+11:00,2024-03-29 00:00:00+11:00,2024-03-21 19:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-26 21:00:00+11:00,2024-03-31 05:00:00+11:00,2024-03-21 21:00:00+11:00
Financial Accounting - Learn Virtual,Open,Yes,2024-03-26 21:00:00+11:00,2024-03-30 02:00:00+11:00,2024-03-21 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-26 13:00:00+11:00,2024-03-29 21:00:00+11:00,2024-03-21 13:00:00+11:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-03-26 15:00:00+11:00,2024-03-28 20:00:00+11:00,2024-03-21 15:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-27 14:30:00+11:00,2024-03-30 23:30:00+11:00,2024-03-22 14:30:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-30 23:00:00+11:00,2024-03-22 15:00:00+11:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-03-27 15:00:00+11:00,2024-03-29 20:00:00+11:00,2024-03-22 15:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-27 16:30:00+11:00,2024-03-31 01:30:00+11:00,2024-03-22 16:30:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-27 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-22 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-27 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-22 17:00:00+11:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-03-27 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-22 17:00:00+11:00
Benefits Fundamentals - Learn In-Person,Open,Yes,2024-03-27 17:00:00+11:00,2024-03-31 01:00:00+11:00,2024-03-22 17:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-27 20:30:00+11:00,2024-03-31 05:30:00+11:00,2024-03-22 20:30:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-03-27 21:00:00+11:00,2024-03-31 05:00:00+11:00,2024-03-22 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-27 21:00:00+11:00,2024-03-31 05:00:00+11:00,2024-03-22 21:00:00+11:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-27 21:00:00+11:00,2024-03-31 05:00:00+11:00,2024-03-22 21:00:00+11:00
Cloud Connect Third Party Payroll Maintenance - Learn Virtual,Open,Yes,2024-03-27 21:00:00+11:00,2024-03-31 02:00:00+11:00,2024-03-22 21:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-03-27 13:00:00+11:00,2024-03-29 18:00:00+11:00,2024-03-22 13:00:00+11:00
Performance Enablement - Learn Virtual,Open,Yes,2024-03-28 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-25 15:00:00+11:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-03-28 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-25 15:00:00+11:00
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-03-28 15:00:00+11:00,2024-03-29 20:00:00+11:00,2024-03-25 15:00:00+11:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-03-28 17:00:00+11:00,2024-03-30 22:00:00+11:00,2024-03-25 17:00:00+11:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-03-28 17:00:00+11:00,2024-03-30 22:00:00+11:00,2024-03-25 17:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-03-28 21:00:00+11:00,2024-03-31 02:00:00+11:00,2024-03-25 21:00:00+11:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-03-29 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-26 15:00:00+11:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-03-29 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-26 15:00:00+11:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-03-29 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-26 15:00:00+11:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-03-29 15:00:00+11:00,2024-03-30 20:00:00+11:00,2024-03-26 15:00:00+11:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-03-29 21:00:00+11:00,2024-03-31 02:00:00+11:00,2024-03-26 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-01 13:00:00+11:00,2024-04-04 21:00:00+11:00,2024-03-27 13:00:00+11:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-01 13:00:00+11:00,2024-04-05 21:00:00+11:00,2024-03-27 13:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-01 15:00:00+11:00,2024-04-05 21:00:00+11:00,2024-03-27 15:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-02 05:00:00+11:00,2024-04-06 13:00:00+11:00,2024-03-28 06:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-04 20:00:00+11:00,2024-03-28 15:00:00+11:00
Payroll Services Practical - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-28 15:00:00+11:00
CCTPP Consulting Core - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-10 19:30:00+10:00,2024-03-28 15:00:00+11:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-04 20:00:00+11:00,2024-03-28 15:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-06 21:00:00+11:00,2024-03-28 15:00:00+11:00
Student Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-28 15:00:00+11:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-05 20:00:00+11:00,2024-03-28 15:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-28 15:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-05 23:00:00+11:00,2024-03-28 15:00:00+11:00
Financial Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 16:30:00+11:00,2024-04-07 00:30:00+11:00,2024-03-28 16:30:00+11:00
Advanced Business Process - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-03 22:00:00+11:00,2024-03-28 17:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-04 22:00:00+11:00,2024-03-28 17:00:00+11:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-04 22:00:00+11:00,2024-03-28 17:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-07 01:00:00+11:00,2024-03-28 17:00:00+11:00
Onboarding Fundamentals - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-03 22:00:00+11:00,2024-03-28 17:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-28 17:00:00+11:00
Customer Accounts and Customer Contracts - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-05 22:00:00+11:00,2024-03-28 17:00:00+11:00
Accounting Center - Learn Virtual,Open,Yes,2024-04-02 17:00:00+11:00,2024-04-04 22:00:00+11:00,2024-03-28 17:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-02 21:00:00+11:00,2024-04-06 05:00:00+11:00,2024-03-28 21:00:00+11:00
Integration Security - Learn Virtual,Open,Yes,2024-04-02 21:00:00+11:00,2024-04-04 02:00:00+11:00,2024-03-28 21:00:00+11:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-04-02 21:00:00+11:00,2024-04-05 02:00:00+11:00,2024-03-28 21:00:00+11:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-04-02 21:00:00+11:00,2024-04-06 02:00:00+11:00,2024-03-28 21:00:00+11:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-04-02 21:00:00+11:00,2024-04-07 02:00:00+10:00,2024-03-28 21:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 13:00:00+11:00,2024-04-05 22:00:00+11:00,2024-03-28 13:00:00+11:00
Financial Fundamentals - Learn In-Person,Open,Yes,2024-04-02 15:00:00+11:00,2024-04-05 23:00:00+11:00,2024-03-28 15:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-02 19:30:00+11:00,2024-04-06 04:30:00+11:00,2024-03-28 19:30:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-03 03:00:00+11:00,2024-04-06 11:00:00+11:00,2024-03-29 04:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-03 04:30:00+11:00,2024-04-06 13:30:00+11:00,2024-03-29 05:30:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-03 04:30:00+11:00,2024-04-06 13:30:00+11:00,2024-03-29 05:30:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-03 05:00:00+11:00,2024-04-06 13:00:00+11:00,2024-03-29 06:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-03 05:00:00+11:00,2024-04-06 13:00:00+11:00,2024-03-29 06:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-03 05:00:00+11:00,2024-04-07 04:30:00+10:00,2024-03-29 06:00:00+11:00
Workday Extend Consulting Core - Learn Virtual,Open,Yes,2024-04-03 05:00:00+11:00,2024-04-12 09:00:00+10:00,2024-03-29 06:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-03 14:30:00+11:00,2024-04-06 23:30:00+11:00,2024-03-29 14:30:00+11:00
Student Records and Advising Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-06 23:00:00+11:00,2024-03-29 15:00:00+11:00
Workday Extend Consulting Core - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-12 19:00:00+10:00,2024-03-29 15:00:00+11:00
Workday Studio Consulting Core - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-12 19:00:00+10:00,2024-03-29 15:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-03 16:30:00+11:00,2024-04-07 01:30:00+11:00,2024-03-29 16:30:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-04-03 17:00:00+11:00,2024-04-07 01:00:00+11:00,2024-03-29 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-03 17:00:00+11:00,2024-04-07 01:00:00+11:00,2024-03-29 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-03 17:00:00+11:00,2024-04-07 01:00:00+11:00,2024-03-29 17:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-03 17:00:00+11:00,2024-04-07 01:00:00+11:00,2024-03-29 17:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-03 21:00:00+11:00,2024-04-07 04:00:00+10:00,2024-03-29 21:00:00+11:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-04-03 15:00:00+11:00,2024-04-04 20:00:00+11:00,2024-03-29 15:00:00+11:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-04-04 05:00:00+11:00,2024-04-05 10:00:00+11:00,2024-03-30 06:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-04 05:00:00+11:00,2024-04-06 10:00:00+11:00,2024-03-30 06:00:00+11:00
Cloud Connect for Benefits - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-01 15:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-01 15:00:00+11:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-01 15:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-01 15:00:00+11:00
Talent Management - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-05 20:00:00+11:00,2024-04-01 15:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-04-04 15:00:00+11:00,2024-04-05 20:00:00+11:00,2024-04-01 15:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-04 17:00:00+11:00,2024-04-06 22:00:00+11:00,2024-04-01 17:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-04 17:00:00+11:00,2024-04-06 22:00:00+11:00,2024-04-01 17:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-04-04 17:00:00+11:00,2024-04-05 22:00:00+11:00,2024-04-01 17:00:00+11:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-04-05 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-02 15:00:00+11:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-04-05 15:00:00+11:00,2024-04-06 20:00:00+11:00,2024-04-02 15:00:00+11:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-04-05 19:00:00+11:00,2024-04-07 00:00:00+11:00,2024-04-02 19:00:00+11:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-04-05 19:00:00+11:00,2024-04-07 00:00:00+11:00,2024-04-02 19:00:00+11:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-04-05 19:00:00+11:00,2024-04-07 00:00:00+11:00,2024-04-02 19:00:00+11:00
Payroll Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-08 09:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-03 10:00:00+11:00
Talent Management - Learn Virtual,Open,Yes,2024-04-08 13:00:00+10:00,2024-04-09 18:00:00+10:00,2024-04-03 15:00:00+11:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-08 13:00:00+10:00,2024-04-09 18:00:00+10:00,2024-04-03 15:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-08 18:00:00+10:00,2024-04-13 02:00:00+10:00,2024-04-03 20:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 00:30:00+10:00,2024-04-12 09:30:00+10:00,2024-04-04 02:30:00+11:00
Adaptive Planning Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 01:00:00+10:00,2024-04-13 07:00:00+10:00,2024-04-04 03:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 01:00:00+10:00,2024-04-13 07:00:00+10:00,2024-04-04 03:00:00+11:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-09 02:30:00+10:00,2024-04-13 11:30:00+10:00,2024-04-04 04:30:00+11:00
HCM Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 02:30:00+10:00,2024-04-13 10:30:00+10:00,2024-04-04 04:30:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-09 03:00:00+10:00,2024-04-11 08:00:00+10:00,2024-04-04 05:00:00+11:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-04-09 03:00:00+10:00,2024-04-13 09:00:00+10:00,2024-04-04 05:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-09 03:00:00+10:00,2024-04-13 11:00:00+10:00,2024-04-04 05:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-10 18:00:00+10:00,2024-04-04 15:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-11 18:00:00+10:00,2024-04-04 15:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-11 18:00:00+10:00,2024-04-04 15:00:00+11:00
Talent Management - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-10 18:00:00+10:00,2024-04-04 15:00:00+11:00
Workday Extend for Non-Developers - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-10 18:00:00+10:00,2024-04-04 15:00:00+11:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-10 18:00:00+10:00,2024-04-04 15:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-13 19:00:00+10:00,2024-04-04 15:00:00+11:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-11 18:00:00+10:00,2024-04-04 15:00:00+11:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-11 18:00:00+10:00,2024-04-04 15:00:00+11:00
Adaptive Planning Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-13 19:00:00+10:00,2024-04-04 15:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-12 21:00:00+10:00,2024-04-04 15:00:00+11:00
Student Services Practical - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-04 15:00:00+11:00
Student Financial Aid Fundamentals - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-12 21:00:00+10:00,2024-04-04 15:00:00+11:00
Student Financial Aid Consulting Core - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-04 15:00:00+11:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 14:30:00+10:00,2024-04-13 22:30:00+10:00,2024-04-04 16:30:00+11:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-09 14:30:00+10:00,2024-04-13 23:30:00+10:00,2024-04-04 16:30:00+11:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-11 20:00:00+10:00,2024-04-04 17:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-04 17:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-12 23:00:00+10:00,2024-04-04 17:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-12 23:00:00+10:00,2024-04-04 17:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-04 17:00:00+11:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-04 17:00:00+11:00
Adaptive Planning Fundamentals - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-12 22:00:00+10:00,2024-04-04 17:00:00+11:00
Accounting Center Consulting Core - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-12 21:00:00+10:00,2024-04-04 17:00:00+11:00
